Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Date Deal First Announced Publicly,Price (in USD million),Price/Dose (in USD),Buyer/recipient,Region,Income level,"GNI per capita, Atlas method (current US$)","GNI, Atlas method (current US$)", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
Sinovac,China,Approved,2,Government Purchase,Yes,,,1.50,Starting  March 2021,3/26/2021, 15.00 ,10.000,Cambodia,East Asia & Pacific,Lower middle income,1530.00,25211727076.38," 16,486,542.00 ",16.49,0.0910,4.55%,Deal announced after doses were delivered. Price/dose based on reported total price.,https://www.voacambodia.com/a/cambodia-to-use-sinovac-s-coronavac-vaccine-amid-expanded-roll-out-/5835161.html
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,No,Serum Institute,India,0.10,,, Not available ,,Cambodia,East Asia & Pacific,Lower middle income,1530.00,25211727076.38," 16,486,542.00 ",16.49,0.0061,0.30%,"The contract is still under negotiation and therefore, no other information has been made available publicly. It was earlier reported as a donation, but new reports clarify that its a purchase agreement.",http://asean.dla.go.th/public/news.do?cmd=news&category=1&nid=36217&lang=en&random=1614001877652 ; https://www.khmertimeskh.com/50815733/cambodia-negotiating-purchase-of-indian-vaccines/ ; https://www.reuters.com/article/us-health-coronavirus-india-diplomacy/vaccine-diplomacy-india-seeks-to-rival-china-with-broad-shipments-idUSKBN2A70C8
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute [manufacturer]; Verity Pharmaceuticals [distributor],India,2.00,Mar-21,2/26/2021, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,0.0532,2.66%,Verity will support distribution. This purchase is in addition to the 20m AZ doses already secured,https://globalnews.ca/news/7665084/astrazeneca-canada-india-serum-institute/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,20.00,,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,0.5321,26.60%,,https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_Canada_EN.pdf
Johnson & Johnson,United States/Belgium,Approved,1,Government Purchase,Yes,,,38.00,,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,1.0109,101.09%,,https://www.cbc.ca/news/business/novavax-covid-19-vaccine-1.5706067 ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Johnson_Johnson_Canada_EN.pdf
Moderna,United States,Approved,2,Government Purchase,Yes,,,44.00,,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,1.1705,58.53%,"Initial deal was for 20m, with option to add additional 36m. Canada exercised this option to extend another 20m in December. Another 4m doses added in February 2021.",https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Moderna_Canada_EN.pdf ; https://www.ctvnews.ca/health/coronavirus/feds-secure-more-moderna-vaccines-sign-deal-with-fedex-to-ship-doses-1.5217363 ; https://investors.modernatx.com/news-releases/news-release-details/canada-purchases-additional-4-million-doses-modernas-covid-19
Medicago/GSK,Canada/United Kingdom,Phase 2/3,2,Government Purchase,Yes,,,76.00,,8/23/2020, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,2.0219,101.09%,,https://www.medicago.com/en/newsroom/medicago-signs-agreements-with-the-government-of-canada-to-supply-up-to-76-million-doses-of-its-recombinant-plant-derived-covid-19-vaccine/
Novavax,United States,Phase 3,2,Government Purchase,Yes,,,52.00,as early as second quarter of 2021,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,1.3834,69.17%,Final contract signed for 52m doses with the option of additional 24m doses.,https://globalnews.ca/news/7676540/novavax-canada-vaccine-contract/ ; https://www.cnbc.com/2020/08/31/canada-to-purchase-76-million-doses-of-novavax-coronavirus-vaccine-company-says.html ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Novavax_Canada_EN.pdf
Providence Therapeutics,Canada,Phase 1,2,Government Purchase,Yes,,,2.00,,2/11/2021, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,0.0532,2.66%,Sub-national government purchase by the province of Manitoba.,https://www.providencetherapeutics.com/providence-therapeutics-enters-into-agreement-with-government-of-manitoba-to-supply-2-million-doses-of-its-covid-19-vaccine
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,105.00,end of 2021,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,2.7934,139.67%,"Deal for 20m, option to purchase another 56m. 20m doses added in January, leaving option for 36m additional future purchases. New contracts for 30m and 35m signed in April 2021, with 30m optional doses in each contract and delivery set for 2022 and 2023. and an additional option for another 60m doses in 2024. ",https://www.reuters.com/article/us-health-coronavirus-canada-pfizer-idUSKBN29H2AT ; https://globalnews.ca/news/7251593/canada-pfizer-coronavirus-vaccine/ ; https://www.reuters.com/article/brief-canada-signs-booster-deal-with-pfi/brief-canada-signs-booster-deal-with-pfizer-for-35-mln-doses-in-2022-30-mln-in-2023-pm-trudeau-idUST5N2L7001 ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Pfizer_Canada_EN.pdf ; https://www.ft.com/content/46b27627-e083-404c-b6c1-d9e8553b49e3
Sanofi/GSK,France/United Kingdom,Phase 1/2,2,Government Purchase,Yes,,,72.00,,, Not available ,,Canada,North America,High income,46370.00,1742831173097.86," 37,589,262.00 ",37.59,1.9154,95.77%,,https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Sanofi-GlaxoSmithKline_Canada_EN.pdf
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,14.40,,, Not available ,,Chile,Latin America & Caribbean,High income,15010.00,284503968489.50," 18,952,038.00 ",18.95,0.7598,37.99%,,https://www.reuters.com/article/health-coronavirus-chile-pfizer-idUSL1N2HV1WD
CanSino Biologics,China,Approved,1,Government Purchase,Yes,,,1.80,,3/30/2021, Not available ,,Chile,Latin America & Caribbean,High income,15010.00,284503968489.50," 18,952,038.00 ",18.95,0.0950,9.50%,,https://www.reuters.com/article/us-health-coronavirus-chile-vaccine/chile-inks-deal-for-1-8-million-doses-of-cansino-covid-19-vaccine-as-inoculation-drive-plows-ahead-idUSKBN2BM2HM
Johnson & Johnson,United States/Belgium,Approved,1,Government Purchase,Unclear,,,4.00,,, Not available ,,Chile,Latin America & Caribbean,High income,15010.00,284503968489.50," 18,952,038.00 ",18.95,0.2111,21.11%,Being described as a preliminary but not finalized deal,https://www.reuters.com/article/us-health-coronavirus-chile-astrazeneca-idUSKBN2931QF
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,10.00,,, Not available ,,Chile,Latin America & Caribbean,High income,15010.00,284503968489.50," 18,952,038.00 ",18.95,0.5276,26.38%,,https://www.reuters.com/article/health-coronavirus-chile-pfizer-idUSL1N2HV1WD
Sinovac,China,Approved,2,Government Purchase,Yes,,,60.00,Over a three year period,, Not available ,,Chile,Latin America & Caribbean,High income,15010.00,284503968489.50," 18,952,038.00 ",18.95,3.1659,158.29%,,https://www.reuters.com/article/health-coronavirus-chile-pfizer-idUSL1N2HV1WD
,#N/A,#N/A,2,Government Purchase,Unclear,,,1120.00,,, Not available ,,China,East Asia & Pacific,Upper middle income,10410.00,14555441979424.80," 1,397,715,000.00 ",1397.72,0.8013,40.07%,"China has committed to vaccinating 40% of its population - 560 million people - by June 2021, meaning that they will need to have secured approximately 1.12 billion doses of vaccine. While the doses are presumed to be coming primarily from Sinopharm and Sinovac, the precise purchase arrangements have not been made public",https://asia.nikkei.com/Opinion/China-cannot-win-the-great-vaccine-diplomacy-game-without-vaccines?utm_source=thinkglobalhealth&utm_medium=email&utm_campaign=New%20Campaign&utm_term=TGH
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,10.00,,, Not available ,,Colombia,Latin America & Caribbean,Upper middle income,6510.00,327710695942.63," 50,339,443.00 ",50.34,0.1987,9.93%,,https://www.reuters.com/article/health-coronavirus-colombia-vaccine/colombia-reaches-deals-with-pfizer-astrazeneca-for-covid-19-vaccines-idUSL1N2IY3EQ
Johnson & Johnson,United States/Belgium,Approved,1,Government Purchase,Yes,,,9.00,,, Not available ,,Colombia,Latin America & Caribbean,Upper middle income,6510.00,327710695942.63," 50,339,443.00 ",50.34,0.1788,17.88%,,https://uk.reuters.com/article/us-health-coronavirus-colombia-vaccine/colombia-reaches-deal-with-jj-for-9-million-vaccine-doses-idUKKBN29500W
Moderna,United States,Approved,2,Multilateral Purchase,Yes,,,10.00,Mid-2021,2/9/2021, Not available ,,Colombia,Latin America & Caribbean,Upper middle income,6510.00,327710695942.63," 50,339,443.00 ",50.34,0.1987,9.93%,,https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-covid-19-vaccine-supply-agreements-government
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,10.00,,, Not available ,,Colombia,Latin America & Caribbean,Upper middle income,6510.00,327710695942.63," 50,339,443.00 ",50.34,0.1987,9.93%,,https://www.reuters.com/article/health-coronavirus-colombia-vaccine/colombia-reaches-deals-with-pfizer-astrazeneca-for-covid-19-vaccines-idUSL1N2IY3EQ
Sinovac,China,Approved,2,Government Purchase,Yes,,,7.50,Mar-21,1/30/2021, Not available ,,Colombia,Latin America & Caribbean,Upper middle income,6510.00,327710695942.63," 50,339,443.00 ",50.34,0.1490,7.45%,"Initial agreement for 2.5m doses. Colombia has been trying to secure up to 10m extra doses, of which 5m have reportedly already been secured.",https://www.reuters.com/article/health-coronavirus-colombia-vaccine/colombia-reaches-covid-19-vaccine-agreements-with-moderna-sinovac-idUSL8N2K47TN ; https://www.reuters.com/article/us-health-coronavirus-colombia/colombia-extends-health-state-of-emergency-seeks-more-sinovac-vaccines-idUSKBN2AQ04J
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,1.00,First half of 2021,11/12/2020,Not available,,Costa Rica,Latin America & Caribbean,Upper middle income,11700.00,59048606974.20," 5,047,561.00 ",5.05,0.1981,9.91%,,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1982-costa-rica-firma-acuerdo-con-astrazeneca-para-suministro-de-vacuna-candidata-contra-el-sars-cov-2
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,4.00,,1/6/2021, 48.00 ,12.000,Costa Rica,Latin America & Caribbean,Upper middle income,11700.00,59048606974.20," 5,047,561.00 ",5.05,0.7925,39.62%,Initial agreement of 3m doses increased by 1m in March 2021. The agreement for 3m doses was for $36m. Price is based on the price/dose from the initial agreement.,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1907-costa-rica-firma-acuerdo-con-pfizer-y-biontech-para-suministro-de-vacuna-candidata-contra-el-sars-cov-2 ; https://ticotimes.net/2021/01/06/costa-rica-purchased-pfizer-vaccines-for-36-million ; https://www.reuters.com/article/health-coronavirus-costa-rica-idUSL1N2LD1HL
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,0.10,,, Not available ,,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,2290.00,58971175819.99," 25,716,544.00 ",25.72,0.0039,0.19%,,https://www.reuters.com/article/uk-health-coronavirus-ivorycoast/ivory-coast-says-delivery-of-its-first-doses-of-pfizer-vaccine-delayed-to-mid-feb-idUSKBN29Q0TU
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Multilateral Purchase,Yes,Serum Institute,India,240.00,,, 600.00 ,2.500,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A," The number of committed doses has been evolving, with the most recent press release on Feb 3 stating 240m doses from SII. Price provided based on earlier press release for 300m committed doses for a total price of 750m USD, equating to 2.50 USD/dose. ",https://www.astrazeneca.com/media-centre/articles/2020/astrazeneca-takes-next-steps-towards-broad-and-equitable-access-to-oxford-universitys-potential-covid-19-vaccine.html ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_COVAX_EN.pdf; https://www.gavi.org/sites/default/files/covid/covax/COVAX-Interim-Distribution-Forecast.pdf
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Multilateral Purchase,Yes,,,170.00,,, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,https://www.gavi.org/news/media-room/covax-announces-additional-deals-access-promising-covid-19-vaccine-candidates-plans; https://www.gavi.org/sites/default/files/covid/covax/COVAX-Interim-Distribution-Forecast.pdf
Johnson & Johnson,United States/Belgium,Approved,1,Multilateral Purchase,Yes,,,500.00,,, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Most recent report from January 20, 2021 suggests that the arrangement is for up to 500m, but is not clear on how many of these doses are confirmed",https://www.gavi.org/sites/default/files/covid/covax/COVAX%20Supply%20Forecast.pdf ; https://www.gavi.org/news/media-room/covax-announces-additional-deals-access-promising-covid-19-vaccine-candidates-plans
Novavax,United States,Phase 3,2,Multilateral Purchase,Yes,,,550.00,,2/18/2021, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,The MoU is for a total of 1.1b doses. The complete doses will come from the advance purchase agreement with Novavax and an existing agreement with SII (through tech transfer deal with Novavax). 550m doses have been reported for SII but the new MoU does not specify this.,https://www.gavi.org/news/media-room/gavi-signs-memorandum-understanding-novavax-behalf-covax-facility ; https://www.globenewswire.com/news-release/2021/02/18/2178476/0/en/Novavax-Announces-Memorandum-of-Understanding-with-Gavi-for-Cumulative-Supply-to-COVAX-Facility-of-1-1-Billion-Doses-of-COVID-19-Vaccine.html
Novavax,United States,Phase 3,2,Multilateral Purchase,Yes,Serum Institute,India,550.00,,2/18/2021, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,The MoU is for a total of 1.1b doses. The complete doses will come from the advance purchase agreement with Novavax and an existing agreement with SII (through tech transfer deal with Novavax). 550m doses have been reported for SII but the new MoU does not specify this.,https://www.gavi.org/news/media-room/gavi-signs-memorandum-understanding-novavax-behalf-covax-facility ; https://www.globenewswire.com/news-release/2021/02/18/2178476/0/en/Novavax-Announces-Memorandum-of-Understanding-with-Gavi-for-Cumulative-Supply-to-COVAX-Facility-of-1-1-Billion-Doses-of-COVID-19-Vaccine.html ; https://www.financialexpress.com/lifestyle/health/covid-19-vaccine-sii-to-supply-20-million-covishield-doses-to-covax-countries-after-who-nod/2196118/
Pfizer/BioNTech,United States/Germany,Approved,2,Multilateral Purchase,Yes,,,40.00,,, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-reach-agreement-covax-advance-purchase
Sanofi/GSK,France/United Kingdom,Phase 1/2,2,Multilateral Purchase,Yes,,,200.00,,, Not available ,,COVAX ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Most recent report from January 20, 2021 suggest that the arrangement is for up to 200m doses, but is not clear on how many doses have been confirmed",https://www.gavi.org/sites/default/files/covid/covax/COVAX%20Supply%20Forecast.pdf ; https://www.nytimes.com/live/2020/10/28/world/covid-19-coronavirus-updates/drugmakers-pledge-200-million-doses-of-a-potential-vaccine-to-an-international-group-seeking-equal-access
Gamaleya,Russian Federation,Approved,2,Government Purchase,No,,,0.05,,3/16/2021,0.49,9.750,Cyprus,Europe & Central Asia,High income,27710.00,24628873680.26," 1,198,575.00 ",1.20,0.0417,2.09%,Purchase is subject to approval by EMA,https://www.reuters.com/article/health-coronavirus-cyprus-vaccine/cyprus-will-buy-russias-sputnik-jab-if-approved-by-eu-regulator-idUSL8N2LE2FO
Gamaleya,Russian Federation,Approved,2,Government Purchase,No,,,NA,,2/28/2021,,9.750,Czech Republic,Europe & Central Asia,High income,21940.00,234060676773.31," 10,669,709.00 ",10.67,#VALUE!,#VALUE!,"Govt has indicated that they have contacted Russia about the possibility of purchasing doses, and that vaccines could arrive in a week",https://balkaninsight.com/2021/03/08/in-central-and-southeast-europe-eu-is-losing-vaccination-race-to-russia/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,0.11,Feb-21,1/16/2021, Not available ,,Dominican Republic,Latin America & Caribbean,Upper middle income,8080.00,86749300321.62," 10,738,958.00 ",10.74,0.0102,0.51%,"In addition to the deal directly with AZ, Dominican Republic has secured doses from SII to account for the delays from others",https://www.reuters.com/article/health-coronavirus-dominicanrepublic-vac-idUSL8N2KM77N
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,10.00,"Arrive by February 2021, with potential rollout in March",, 40.00 ,4.000,Dominican Republic,Latin America & Caribbean,Upper middle income,8080.00,86749300321.62," 10,738,958.00 ",10.74,0.9312,46.56%,Price/dose calculated based on reported total price of arrangement.,https://dominicantoday.com/dr/economy/2020/11/23/ua40m-astrazeneca-vaccines-arrive-feb-official/
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,7.90,,1/16/2021, 96.00 ,12.000,Dominican Republic,Latin America & Caribbean,Upper middle income,8080.00,86749300321.62," 10,738,958.00 ",10.74,0.7356,36.78%,Price/dose based on total price reported in contract between Dominican Republic and Pfizer.,https://www.keionline.org/misc-docs/Pfizer-DominicanRepublic-Vaccine-Term-Sheet-19Jan2021.pdf ; https://dominicantoday.com/dr/covid-19/2021/01/16/representatives-of-the-health-system-welcome-government-agreement-with-pfizer-and-biontech/ ; https://www.reuters.com/article/health-coronavirus-dominicanrepublic-vac-idUSL8N2KM77N
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.77,,, Not available ,,Dominican Republic,Latin America & Caribbean,Upper middle income,8080.00,86749300321.62," 10,738,958.00 ",10.74,0.0715,3.58%,,https://www.reuters.com/article/health-coronavirus-dominicanrepublic-vac-idUSL8N2KM77N
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,5.00,,, Not available ,,Ecuador,Latin America & Caribbean,Upper middle income,6090.00,105721485330.54," 17,373,662.00 ",17.37,0.2878,14.39%,,https://thecuencadispatch.com/ecuador-reaches-agreements-to-acquire-covid-19-vaccines-for-65-of-the-population/
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,6.00,,, Not available ,,Ecuador,Latin America & Caribbean,Upper middle income,6090.00,105721485330.54," 17,373,662.00 ",17.37,0.3454,17.27%,,https://labsnews.com/en/notes/pfizer-and-biontech-to-produce-2-million-covid-19-vaccines-to-ecuador/ ; https://www.salud.gob.ec/ecuador-inicia-fase-1-de-vacunacion-con-llegada-de-cuarta-remesa-de-31-590-dosis-de-vacunas-pfizer/
Sinovac,China,Approved,2,Government Purchase,Yes,,,2.00,Feb-21,2/16/2021, Not available ,,Ecuador,Latin America & Caribbean,Upper middle income,6090.00,105721485330.54," 17,373,662.00 ",17.37,0.1151,5.76%,,https://www.reuters.com/article/health-coronavirus-vaccines-ecuador/ecuador-signs-agreement-with-sinovac-for-2-million-covid-19-vaccine-minister-idUSL1N2KV3J6
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,20.00,Jan-21,1/24/2021, Not available ,,Egypt,Middle East & North Africa,Lower middle income,2690.00,269859172744.82," 100,388,073.00 ",100.39,0.1992,9.96%,"First 50,000 of the doses already received in Jan. Total order size is a bit unclear, but 20m has been reported in multiple sources. Reporting states that deal is with the Serum Institute and ""R-Pharma"" but it is not clear which manufacturer this refers to. R-Pharm is a Russian drug developer that is partnering with AstraZeneca on clinical trials but has not announced a manufacturing deal for the AZ vaccine to date.",https://www.arabnews.com/node/1797771/middle-east ; https://www.reuters.com/article/health-coronavirus-egypt-int-idUSKBN2A225Y
Gamaleya,Russian Federation,Approved,2,Combination,Yes,Pharco Pharmaceuticals,Egypt,25.00,,, 243.75 ,9.750,Egypt,Middle East & North Africa,Lower middle income,2690.00,269859172744.82," 100,388,073.00 ",100.39,0.2490,12.45%,,https://fr.reuters.com/article/uk-health-coronavirus-russia-vaccine-egy/russia-to-supply-egypt-with-covid-19-vaccine-in-expansion-push-idUKKBN26L1AI ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7 ; https://atalayar.com/en/content/egypt-produce-russian-covid-19-vaccine 
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,40.00,Starting Dec 2020,, Not available ,,Egypt,Middle East & North Africa,Lower middle income,2690.00,269859172744.82," 100,388,073.00 ",100.39,0.3985,19.92%,"The total doses is a bit unclear but 40m is the reported number in some news sources; however, a Reuters report says 20m has been purchased.",https://www.reuters.com/article/health-coronavirus-egypt-int-idUSKBN28K3ER ; https://www.africanews.com/2021/01/03/covid-19-egypt-approves-sinopharm-vaccine-for-general-use// ; https://dailynewsegypt.com/2021/01/03/egypt-to-start-vaccination-against-covid-19-soon-with-40m-doses-in-stock/ ; https://www.reuters.com/world/africa/egypt-purchase-20-million-doses-sinopharm-vaccine-2021-04-20/
Sinovac,China,Approved,2,Government Purchase,Yes,,,2.00,,2/25/2021, Not available ,,El Salvador,Latin America & Caribbean,Lower middle income,4000.00,25807942165.84," 6,453,553.00 ",6.45,0.3099,15.50%,,https://www.wionews.com/world/el-salvador-acquires-two-million-covid-19-vaccines-from-china-373840
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,2.00,,, Not available ,,El Salvador,Latin America & Caribbean,Lower middle income,4000.00,25807942165.84," 6,453,553.00 ",6.45,0.3099,15.50%,,https://vozdeladiasporanews.com/en/el-salvador-acuerda-con-la-farmaceutica-astrazeneca-el-suministro-de-vacuna-contra-covid-19/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Multilateral Purchase,Yes,Serum Institute,India,10.00,,4/1/2021, Not available ,,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.0223,1.12%,EU is in talks with India to allow exports of the India manufactured AZ version.,https://www.reuters.com/article/us-health-coronavirus-india-eu-exclusive/exclusive-eu-seeks-10-million-astrazeneca-vaccines-from-india-to-meet-shortfall-indian-source-idUSKBN2BO5H4
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Multilateral Purchase,Yes,AstraZeneca,UK,300.00,Full delivery by June 2021,8/27/2020," 1,060.00 ",3.533,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.6704,33.52%,Option for an additional 100m doses. Price/dose based on leaked contract provided to the press that provided total price.,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1524 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list ; https://fragdenstaat.de/dokumente/8409-apa_-_astrazeneca/ ; https://www.reuters.com/article/us-health-coronavirus-eu-astrazeneca/eu-agreed-to-pay-870-million-euros-for-supply-of-astrazeneca-vaccines-by-june-contract-shows-idUSKBN2AJ21H
Curevac,Germany,Phase 3,2,Multilateral Purchase,Yes,,,225.00,,11/17/2020," 2,767.50 ",12.300,European Union,0.00,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.5028,25.14%,"Deal for 225m, option to buy another 180m. Price based on leaked price/dose estimates provided by the Belgian foreign minister; this is higher than was reported a month earlier in Nov 2020.","https://www.fiercepharma.com/pharma/curevac-advanced-talks-eu-to-supply-225m-coronavirus-vaccine-doses, https://www.reuters.com/article/us-health-coronavirus-eu-curevac-idUSKBN25G0Z2 ; https://www.reuters.com/article/uk-health-coronavirus-eu-curevac-idUKKBN27W1YN ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list ; https://www.reuters.com/article/uk-health-coronavirus-eu-pfizer-exclusiv/exclusive-eu-could-pay-over-10-billion-for-pfizer-and-curevac-vaccines-source-idUKKBN2800ID; https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html"
Johnson & Johnson,United States/Belgium,Approved,1,Multilateral Purchase,Yes,,,200.00,,10/8/2020," 1,700.00 ",8.500,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.4469,44.69%,"Deal for 200m, option for additional 200m. Price based on leaked price/dose provided by Belgian foreign minister.",https://www.jnj.com/johnson-johnson-announces-european-commission-approval-of-agreement-to-supply-200-million-doses-of-janssens-covid-19-vaccine-candidate ; https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1829 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list
Moderna,United States,Approved,2,Multilateral Purchase,Yes,,,310.00,,11/25/2020," 5,580.00 ",18.000,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.6927,34.64%,"Initial deal was for 80m, with option to extend another 80. Option has now been exercised. Second contract for 150m, with option for additional 150m in 2022, signed in Feb 2021. Price based on price/dose tweeted by Belgian foreign minister.","https://investors.modernatx.com/news-releases/news-release-details/european-commission-purchases-additional-150-million-doses-covid#:~:text=This%20brings%20its%20confirmed%20order,Moderna%20and%20our%20mRNA%20platform ; https://ec.europa.eu/commission/presscorner/detail/en/ip_21_655; https://www.politico.eu/article/commission-to-seal-deal-with-moderna-for-up-to-160m-doses-of-coronavirus-vax/ ; https://www.marketwatch.com/story/eu-to-buy-an-additional-80-million-doses-of-modernas-coronavirus-vaccine-2020-12-18 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list"
Novavax,United States,Phase 3,2,Multilateral Purchase,No,,,100.00,,, Not available ,,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,0.2235,11.17%,"Exploratory talks concluded December 17, 2020 for deal for 100m, with option to extend another 100m",https://ec.europa.eu/commission/presscorner/detail/en/ip_20_2305
Pfizer/BioNTech,United States/Germany,Approved,2,Multilateral Purchase,Yes,,,600.00,,11/11/2020," 11,340.00 ",18.900,European Union,0,High income,35812.48,16026517409439.00," 447,512,041.00 ",447.51,1.3407,67.04%,"Initial deal was for 200m with option for 100m extension; that extension has now been used, and another contract for another 200m with an option for an additional 100m has been finalized (600m doses total available). 100m additional doses purchased in Apr 2021, bringing total to 600m. Price based on price/dose reported in December 2020 for first 300m, same price applied to 600m now purchased. This price is higher than that estimated in tweets by Belgian foreign minister.",https://ec.europa.eu/commission/presscorner/detail/en/ip_20_2081 ; https://www.politico.eu/article/commission-purchases-300m-more-doses-of-biontech-pfizer-coronavirus-vaccine/ ; https://ec.europa.eu/commission/presscorner/detail/en/ip_21_9 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list ; https://www.reuters.com/article/us-health-coronavirus-eu-vaccine-prices-idUSKBN28V0Y6 ; https://www.globenewswire.com/news-release/2021/04/19/2212065/0/en/Pfizer-and-BioNTech-to-Supply-the-European-Union-with-100-Million-Additional-Doses-of-COMIRNATY.html
